"supplier_key","supplier_id","supplier_name","country","lead_time_days","reliability_score"
1,"SUP0001","Rodriguez, Figueroa and Sanchez","Spain",22,0.89
2,"SUP0002","Doyle Ltd","France",23,1.00
3,"SUP0003","Mcclain, Miller and Henderson","Germany",15,0.88
4,"SUP0004","Davis and Sons","Turkey",32,0.96
5,"SUP0005","Guzman, Hoffman and Baldwin","Poland",13,0.94
6,"SUP0006","Gardner, Robinson and Lawrence","United Kingdom",13,0.86
7,"SUP0007","Blake and Sons","United Kingdom",20,0.75
8,"SUP0008","Henderson, Ramirez and Lewis","Germany",2,0.86
9,"SUP0009","Garcia-James","USA",8,0.93
10,"SUP0010","Abbott-Munoz","USA",9,0.79
11,"SUP0011","Blair PLC","France",31,0.88
12,"SUP0012","Dudley Group","Turkey",18,0.79
13,"SUP0013","Arnold Ltd","United Kingdom",13,0.91
14,"SUP0014","Mcclure, Ward and Lee","France",7,0.93
15,"SUP0015","Williams and Sons","USA",12,0.88
16,"SUP0016","Galloway-Wyatt","Italy",12,1.00
17,"SUP0017","James Group","Mexico",17,0.82
18,"SUP0018","Flowers, Martin and Kelly","Italy",25,0.80
19,"SUP0019","Adams, Zuniga and Wong","France",19,0.74
20,"SUP0020","Reid, Ferguson and Sanchez","Poland",6,0.92
21,"SUP0021","Gray-Mayo","USA",24,0.91
22,"SUP0022","Watts, Robinson and Nguyen","Netherlands",16,0.88
23,"SUP0023","Perez Inc","Turkey",4,0.84
24,"SUP0024","Morales-Jones","India",13,0.98
25,"SUP0025","Walter, Edwards and Rios","South Korea",21,0.76
26,"SUP0026","Wilkerson-Day","Bangladesh",20,0.87
27,"SUP0027","Baker and Sons","United Kingdom",11,0.95
28,"SUP0028","Hoffman, Baker and Richards","South Korea",27,0.97
29,"SUP0029","Ross, Robinson and Bright","South Korea",10,0.88
30,"SUP0030","Snyder, Campos and Callahan","China",20,0.98
31,"SUP0031","Burton Ltd","Italy",13,0.89
32,"SUP0032","Carlson-Cruz","Poland",8,0.80
33,"SUP0033","Ferrell, Rice and Maddox","Vietnam",25,1.00
34,"SUP0034","Frazier Inc","India",17,0.98
35,"SUP0035","Dyer, Potter and Mack","China",21,0.85
36,"SUP0036","Rodriguez-Graham","USA",21,1.00
37,"SUP0037","Smith-Bowen","South Korea",17,1.00
38,"SUP0038","Baker, Mason and White","Vietnam",2,0.97
39,"SUP0039","Harrell LLC","Germany",18,0.88
