"inventory_key","product_key","warehouse_key","inventory_date_key","stock_level","reorder_level","inventory_value","stock_risk_flag"
1,351,11,20230101,477,75,11667.42,False
2,351,11,20230606,437,75,10689.02,False
3,351,11,20231109,458,75,11202.68,False
4,351,11,20240414,433,75,10591.18,False
5,351,11,20240917,504,75,12327.84,False
6,351,11,20250221,545,75,13330.70,False
7,351,11,20250727,587,75,14358.02,False
8,351,11,20251231,620,75,15165.20,False
9,205,12,20230101,57,25,7624.32,False
10,205,12,20230606,43,25,5751.68,False
11,205,12,20231109,30,25,4012.80,False
12,205,12,20240414,17,25,2273.92,True
13,205,12,20240917,39,25,5216.64,False
14,205,12,20250221,51,25,6821.76,False
15,205,12,20250727,52,25,6955.52,False
16,205,12,20251231,49,25,6554.24,False
17,810,5,20230101,245,50,14337.40,False
18,810,5,20230606,248,50,14512.96,False
19,810,5,20231109,265,50,15507.80,False
20,810,5,20240414,271,50,15858.92,False
21,810,5,20240917,252,50,14747.04,False
22,810,5,20250221,274,50,16034.48,False
23,810,5,20250727,268,50,15683.36,False
24,810,5,20251231,269,50,15741.88,False
25,467,9,20230101,83,50,7754.69,False
26,467,9,20230606,81,50,7567.83,False
27,467,9,20231109,63,50,5886.09,False
28,467,9,20240414,125,50,11678.75,False
29,467,9,20240917,119,50,11118.17,False
30,467,9,20250221,118,50,11024.74,False
31,467,9,20250727,86,50,8034.98,False
32,467,9,20251231,76,50,7100.68,False
33,554,5,20230101,378,75,2577.96,False
34,554,5,20230606,364,75,2482.48,False
35,554,5,20231109,325,75,2216.50,False
36,554,5,20240414,307,75,2093.74,False
37,554,5,20240917,322,75,2196.04,False
38,554,5,20250221,319,75,2175.58,False
39,554,5,20250727,307,75,2093.74,False
40,554,5,20251231,323,75,2202.86,False
41,66,3,20230101,40,10,172.40,False
42,66,3,20230606,46,10,198.26,False
43,66,3,20231109,51,10,219.81,False
44,66,3,20240414,49,10,211.19,False
45,66,3,20240917,48,10,206.88,False
46,66,3,20250221,50,10,215.50,False
47,66,3,20250727,48,10,206.88,False
48,66,3,20251231,47,10,202.57,False
49,342,3,20230101,131,25,29950.53,False
50,342,3,20230606,132,25,30179.16,False
51,342,3,20231109,128,25,29264.64,False
52,342,3,20240414,109,25,24920.67,False
53,342,3,20240917,116,25,26521.08,False
54,342,3,20250221,109,25,24920.67,False
55,342,3,20250727,117,25,26749.71,False
56,342,3,20251231,91,25,20805.33,False
57,603,11,20230101,102,20,881.28,False
58,603,11,20230606,91,20,786.24,False
59,603,11,20231109,95,20,820.80,False
60,603,11,20240414,106,20,915.84,False
61,603,11,20240917,99,20,855.36,False
62,603,11,20250221,82,20,708.48,False
63,603,11,20250727,72,20,622.08,False
64,603,11,20251231,60,20,518.40,False
65,426,9,20230101,193,100,128011.11,False
66,426,9,20230606,197,100,130664.19,False
67,426,9,20231109,185,100,122704.95,False
68,426,9,20240414,151,100,100153.77,False
69,426,9,20240917,171,100,113419.17,False
70,426,9,20250221,153,100,101480.31,False
71,426,9,20250727,168,100,111429.36,False
72,426,9,20251231,241,100,159848.07,False
73,116,6,20230101,105,50,90277.95,False
74,116,6,20230606,132,50,113492.28,False
75,116,6,20231109,130,50,111772.70,False
76,116,6,20240414,144,50,123809.76,False
77,116,6,20240917,75,50,64484.25,False
78,116,6,20250221,26,50,22354.54,True
79,116,6,20250727,60,50,51587.40,False
80,116,6,20251231,76,50,65344.04,False
81,168,8,20230101,44,20,643.28,False
82,168,8,20230606,48,20,701.76,False
83,168,8,20231109,49,20,716.38,False
84,168,8,20240414,50,20,731.00,False
85,168,8,20240917,54,20,789.48,False
86,168,8,20250221,58,20,847.96,False
87,168,8,20250727,57,20,833.34,False
88,168,8,20251231,60,20,877.20,False
89,830,6,20230101,78,100,24780.60,True
90,830,6,20230606,113,100,35900.10,False
91,830,6,20231109,138,100,43842.60,False
92,830,6,20240414,189,100,60045.30,False
93,830,6,20240917,277,100,88002.90,False
94,830,6,20250221,277,100,88002.90,False
95,830,6,20250727,242,100,76883.40,False
96,830,6,20251231,348,100,110559.60,False
97,803,3,20230101,100,75,36716.00,False
98,803,3,20230606,111,75,40754.76,False
99,803,3,20231109,96,75,35247.36,False
100,803,3,20240414,49,75,17990.84,True
101,803,3,20240917,44,75,16155.04,True
102,803,3,20250221,47,75,17256.52,True
103,803,3,20250727,43,75,15787.88,True
104,803,3,20251231,40,75,14686.40,True
105,521,6,20230101,287,50,9990.47,False
106,521,6,20230606,276,50,9607.56,False
107,521,6,20231109,259,50,9015.79,False
108,521,6,20240414,215,50,7484.15,False
109,521,6,20240917,245,50,8528.45,False
110,521,6,20250221,263,50,9155.03,False
111,521,6,20250727,248,50,8632.88,False
112,521,6,20251231,216,50,7518.96,False
113,363,9,20230101,81,20,7478.73,False
114,363,9,20230606,82,20,7571.06,False
115,363,9,20231109,101,20,9325.33,False
116,363,9,20240414,88,20,8125.04,False
117,363,9,20240917,77,20,7109.41,False
118,363,9,20250221,76,20,7017.08,False
119,363,9,20250727,69,20,6370.77,False
120,363,9,20251231,64,20,5909.12,False
121,338,12,20230101,197,50,21786.23,False
122,338,12,20230606,217,50,23998.03,False
123,338,12,20231109,227,50,25103.93,False
124,338,12,20240414,237,50,26209.83,False
125,338,12,20240917,235,50,25988.65,False
126,338,12,20250221,242,50,26762.78,False
127,338,12,20250727,254,50,28089.86,False
128,338,12,20251231,268,50,29638.12,False
129,27,2,20230101,42,20,792.54,False
130,27,2,20230606,36,20,679.32,False
131,27,2,20231109,25,20,471.75,False
132,27,2,20240414,22,20,415.14,False
133,27,2,20240917,12,20,226.44,True
134,27,2,20250221,10,20,188.70,True
135,27,2,20250727,17,20,320.79,True
136,27,2,20251231,39,20,735.93,False
137,511,6,20230101,132,75,67444.08,False
138,511,6,20230606,150,75,76641.00,False
139,511,6,20231109,205,75,104742.70,False
140,511,6,20240414,275,75,140508.50,False
141,511,6,20240917,314,75,160435.16,False
142,511,6,20250221,272,75,138975.68,False
143,511,6,20250727,355,75,181383.70,False
144,511,6,20251231,318,75,162478.92,False
145,782,9,20230101,329,75,135577.61,False
146,782,9,20230606,386,75,159066.74,False
147,782,9,20231109,342,75,140934.78,False
148,782,9,20240414,328,75,135165.52,False
149,782,9,20240917,373,75,153709.57,False
150,782,9,20250221,346,75,142583.14,False
151,782,9,20250727,360,75,148352.40,False
152,782,9,20251231,364,75,150000.76,False
153,302,10,20230101,48,10,4584.00,False
154,302,10,20230606,46,10,4393.00,False
155,302,10,20231109,48,10,4584.00,False
156,302,10,20240414,44,10,4202.00,False
157,302,10,20240917,50,10,4775.00,False
158,302,10,20250221,45,10,4297.50,False
159,302,10,20250727,47,10,4488.50,False
160,302,10,20251231,45,10,4297.50,False
