"purchase_key","purchase_order_id","supplier_key","product_key","order_date_key","received_date_key","quantity","unit_cost","purchase_value","lead_time_days"
1,"PO000001",34,61,20250603,20250620,200,26.47,5294.00,17
2,"PO000002",88,575,20250407,20250427,300,9.24,2772.00,20
3,"PO000003",78,389,20231010,20231102,150,243.25,36487.50,23
4,"PO000004",102,784,20240706,20240807,150,86.70,13005.00,32
5,"PO000005",2,628,20251023,20251112,150,34.64,5196.00,20
6,"PO000006",93,211,20230919,20231009,200,148.52,29704.00,20
7,"PO000007",51,584,20230703,20230710,100,202.99,20299.00,7
8,"PO000008",112,846,20251231,20260123,100,35.27,3527.00,23
9,"PO000009",33,383,20250112,20250203,750,38.58,28935.00,22
10,"PO000010",37,404,20250822,20250908,1000,43.59,43590.00,17
11,"PO000011",102,562,20230226,20230324,100,149.16,14916.00,26
12,"PO000012",18,697,20230113,20230204,1000,251.89,251890.00,22
13,"PO000013",28,700,20250209,20250301,300,161.44,48432.00,20
14,"PO000014",14,906,20230226,20230305,750,31.19,23392.50,7
15,"PO000015",81,7,20230424,20230503,150,595.92,89388.00,9
16,"PO000016",20,844,20230307,20230313,200,831.66,166332.00,6
17,"PO000017",32,401,20230416,20230422,500,73.35,36675.00,6
18,"PO000018",58,754,20250517,20250530,50,279.27,13963.50,13
19,"PO000019",77,458,20250412,20250422,300,16.51,4953.00,10
20,"PO000020",42,265,20231015,20231120,300,533.30,159990.00,36
21,"PO000021",110,214,20230414,20230428,100,35.46,3546.00,14
22,"PO000022",103,113,20240929,20241001,50,93.00,4650.00,2
23,"PO000023",98,181,20241207,20241226,200,146.58,29316.00,19
24,"PO000024",57,666,20230529,20230616,100,171.58,17158.00,18
25,"PO000025",83,626,20240726,20240819,300,36.80,11040.00,24
26,"PO000026",112,210,20241214,20250109,100,9.08,908.00,26
27,"PO000027",103,618,20241114,20241123,300,36.99,11097.00,9
28,"PO000028",81,7,20240427,20240510,100,598.09,59809.00,13
29,"PO000029",77,333,20230329,20230410,300,4.85,1455.00,12
30,"PO000030",39,55,20250818,20250904,500,81.83,40915.00,17
31,"PO000031",92,105,20240406,20240416,500,147.59,73795.00,10
32,"PO000032",11,824,20250628,20250725,50,163.17,8158.50,27
33,"PO000033",33,9,20240401,20240425,200,48.68,9736.00,24
34,"PO000034",80,191,20230324,20230329,300,258.03,77409.00,5
35,"PO000035",19,220,20231213,20240103,750,135.88,101910.00,21
36,"PO000036",62,612,20240320,20240420,50,108.20,5410.00,31
37,"PO000037",39,500,20250411,20250422,150,53.21,7981.50,11
38,"PO000038",48,827,20240227,20240314,300,75.89,22767.00,16
39,"PO000039",109,794,20251222,20251228,750,77.07,57802.50,6
40,"PO000040",41,473,20240429,20240512,50,174.85,8742.50,13
41,"PO000041",69,243,20240218,20240228,1000,42.34,42340.00,10
42,"PO000042",76,642,20240703,20240721,200,57.77,11554.00,18
43,"PO000043",106,139,20250809,20250901,100,93.42,9342.00,23
44,"PO000044",84,2,20230731,20230825,150,1.89,283.50,25
45,"PO000045",50,709,20241001,20241018,500,486.56,243280.00,17
46,"PO000046",50,361,20230120,20230206,750,5.01,3757.50,17
47,"PO000047",86,394,20241012,20241019,1000,9.28,9280.00,7
48,"PO000048",66,869,20241210,20241214,150,10.02,1503.00,4
49,"PO000049",42,739,20250905,20251005,150,25.06,3759.00,30
50,"PO000050",12,513,20250811,20250828,150,755.17,113275.50,17
51,"PO000051",19,337,20251220,20260108,750,20.03,15022.50,19
52,"PO000052",50,227,20250318,20250406,300,77.80,23340.00,19
53,"PO000053",115,106,20240517,20240601,50,88.64,4432.00,15
54,"PO000054",85,568,20250409,20250421,500,689.78,344890.00,12
55,"PO000055",91,787,20230429,20230519,200,260.15,52030.00,20
56,"PO000056",59,188,20240526,20240611,750,861.24,645930.00,16
57,"PO000057",88,766,20241122,20241214,1000,98.74,98740.00,22
58,"PO000058",27,818,20250714,20250719,100,194.58,19458.00,5
59,"PO000059",22,654,20250823,20250910,750,41.63,31222.50,18
60,"PO000060",4,117,20230406,20230505,50,9.83,491.50,29
61,"PO000061",116,602,20230310,20230316,300,84.18,25254.00,6
62,"PO000062",6,969,20240318,20240331,1000,35.60,35600.00,13
63,"PO000063",12,748,20240225,20240318,200,14.67,2934.00,22
64,"PO000064",79,470,20240221,20240326,500,364.48,182240.00,34
65,"PO000065",63,864,20230810,20230903,750,55.03,41272.50,24
66,"PO000066",19,220,20250504,20250526,750,132.47,99352.50,22
67,"PO000067",116,602,20240729,20240809,150,88.49,13273.50,11
68,"PO000068",109,939,20230202,20230211,500,705.92,352960.00,9
69,"PO000069",2,145,20231109,20231128,50,85.43,4271.50,19
70,"PO000070",77,442,20230503,20230513,1000,293.46,293460.00,10
71,"PO000071",71,865,20230218,20230307,200,75.48,15096.00,17
72,"PO000072",77,165,20250610,20250621,200,34.55,6910.00,11
73,"PO000073",47,596,20250727,20250805,200,130.19,26038.00,9
74,"PO000074",3,122,20231127,20231212,750,81.68,61260.00,15
75,"PO000075",51,516,20250205,20250215,1000,28.00,28000.00,10
76,"PO000076",105,931,20240823,20240907,750,99.41,74557.50,15
