"sales_key","order_id","customer_key","product_key","order_date_key","quantity","unit_price","discount_rate","gross_sales","discount_amount","net_revenue"
1,"ORD0000001",6972,766,20241203,1,154.35,0.05,154.35,7.72,146.63
2,"ORD0000002",4271,249,20240307,8,1455.18,0.00,11641.44,0.00,11641.44
3,"ORD0000003",7984,482,20250716,1,151.11,0.00,151.11,0.00,151.11
4,"ORD0000004",3439,501,20241028,1,79.23,0.05,79.23,3.96,75.27
5,"ORD0000005",6716,591,20250817,1,60.34,0.00,60.34,0.00,60.34
6,"ORD0000006",1544,870,20251014,4,29.11,0.00,116.44,0.00,116.44
7,"ORD0000007",5368,270,20241221,1,105.61,0.00,105.61,0.00,105.61
8,"ORD0000008",7886,193,20240907,1,61.13,0.00,61.13,0.00,61.13
9,"ORD0000009",8425,967,20240531,2,943.38,0.10,1886.76,188.68,1698.08
10,"ORD0000010",3667,329,20250525,1,268.07,0.15,268.07,40.21,227.86
11,"ORD0000011",5275,815,20240908,6,26.72,0.00,160.32,0.00,160.32
12,"ORD0000012",4510,875,20251113,1,131.91,0.00,131.91,0.00,131.91
13,"ORD0000013",6945,639,20231022,6,164.33,0.00,985.98,0.00,985.98
14,"ORD0000014",6075,974,20241216,1,333.12,0.00,333.12,0.00,333.12
15,"ORD0000015",4085,503,20230909,1,203.52,0.00,203.52,0.00,203.52
16,"ORD0000016",1405,494,20241221,1,100.06,0.00,100.06,0.00,100.06
17,"ORD0000017",9799,556,20250616,2,161.33,0.00,322.66,0.00,322.66
18,"ORD0000018",4530,1,20250629,3,89.85,0.00,269.55,0.00,269.55
19,"ORD0000019",8982,185,20251001,2,73.71,0.00,147.42,0.00,147.42
20,"ORD0000020",8459,25,20230713,3,1266.38,0.00,3799.14,0.00,3799.14
21,"ORD0000021",5073,523,20240731,10,239.60,0.00,2396.00,0.00,2396.00
22,"ORD0000022",162,334,20230807,4,703.16,0.10,2812.64,281.26,2531.38
23,"ORD0000023",4211,456,20240816,1,155.82,0.00,155.82,0.00,155.82
24,"ORD0000024",2999,323,20250527,1,67.06,0.00,67.06,0.00,67.06
